OBJECTID,STATE,NAME,LAT,LON,Date01Start,Date50Start,Date100Start,Dat50End,Date01End,Duration,x,y
182,AR,De Queen,34.042245,-94.342133,4/9/24 0:13,4/8/24 17:14,4/8/24 17:46,4/8/24 17:50,4/8/24 18:22,240,-94.342133,34.042245
183,AR,Desha,35.730455,-91.685579,4/9/24 0:13,4/8/24 17:21,4/8/24 17:53,4/8/24 17:57,4/8/24 18:28,240,-91.685579,35.730455
184,AR,Diaz,35.648773,-91.258933,4/9/24 0:13,4/8/24 17:22,4/8/24 17:54,4/8/24 17:57,4/8/24 18:29,180,-91.258933,35.648773
185,AR,Dierks,34.119961,-94.017283,4/9/24 0:13,4/8/24 17:15,4/8/24 17:47,4/8/24 17:51,4/8/24 18:23,240,-94.017283,34.119961
186,AR,Donaldson,34.234976,-92.919517,4/9/24 0:13,4/8/24 17:17,4/8/24 17:49,4/8/24 17:52,4/8/24 18:25,120,-92.919517,34.234976
187,AR,Dover,35.390981,-93.114241,4/9/24 0:13,4/8/24 17:18,4/8/24 17:50,4/8/24 17:54,4/8/24 18:26,240,-93.114241,35.390981
188,AR,Drasco,35.633775,-91.941776,4/9/24 0:13,4/8/24 17:20,4/8/24 17:52,4/8/24 17:56,4/8/24 18:28,240,-91.941776,35.633775
189,AR,East End,34.554505,-92.327475,4/9/24 0:13,4/8/24 17:18,4/8/24 17:51,4/8/24 17:52,4/8/24 18:26,60,-92.327475,34.554505
190,AR,Edgemont,35.600686,-92.196371,4/9/24 0:13,4/8/24 17:20,4/8/24 17:52,4/8/24 17:56,4/8/24 18:28,240,-92.196371,35.600686
191,AR,Egypt,35.867775,-90.945834,4/9/24 0:13,4/8/24 17:22,4/8/24 17:54,4/8/24 17:58,4/8/24 18:30,180,-90.945834,35.867775
192,AR,El Paso,35.115298,-92.081189,4/9/24 0:13,4/8/24 17:19,4/8/24 17:52,4/8/24 17:55,4/8/24 18:27,180,-92.081189,35.115298
193,AR,Emmet,33.722539,-93.466156,4/9/24 0:13,4/8/24 17:15,4/8/24 17:48,4/8/24 17:49,4/8/24 18:23,60,-93.466156,33.722539
194,AR,Enola,35.195907,-92.206581,4/9/24 0:13,4/8/24 17:19,4/8/24 17:51,4/8/24 17:55,4/8/24 18:27,210,-92.206581,35.195907
195,AR,Evening Shade,36.069933,-91.621881,4/9/24 0:13,4/8/24 17:22,4/8/24 17:53,4/8/24 17:57,4/8/24 18:29,240,-91.621881,36.069933
196,AR,Everton,36.15414,-92.909538,4/9/24 0:13,4/8/24 17:20,4/8/24 17:52,4/8/24 17:54,4/8/24 18:27,120,-92.909538,36.15414
197,AR,Pocahontas,36.263366,-90.971224,4/9/24 0:13,4/8/24 17:23,4/8/24 17:54,4/8/24 17:58,4/8/24 18:30,240,-90.971224,36.263366
198,AR,Pollard,36.429561,-90.267129,4/9/24 0:13,4/8/24 17:24,4/8/24 17:56,4/8/24 18:00,4/8/24 18:31,210,-90.267129,36.429561
199,AR,Bethesda,35.787096,-91.792711,4/9/24 0:13,4/8/24 17:21,4/8/24 17:52,4/8/24 17:57,4/8/24 18:28,240,-91.792711,35.787096
200,AR,Bigelow,34.997795,-92.631175,4/9/24 0:13,4/8/24 17:18,4/8/24 17:50,4/8/24 17:54,4/8/24 18:26,210,-92.631175,34.997795
